ibge_code,valor,beneficiarios
1100015,4445400.0,6513
1100015,5403600.0,7763
1100015,3410400.0,4937
1100015,5597400.0,8265
1100015,4995600.0,7363
1100015,4652776.0,8551
1100015,3069212.0,7821
1100015,3993612.0,8229
1100015,3649839.0,8111
1100015,25500.0,25
1100379,1951800.0,2890
1100379,2437800.0,3496
1100379,1615800.0,2387
1100379,2539200.0,3764
1100379,2373600.0,3512
1100379,2101071.0,3968
1100379,1429405.0,3624
1100379,1826967.0,3822
1100379,1670317.0,3770
1100379,11400.0,12
1100403,3441000.0,5040
1100403,4036200.0,5812
1100403,2487000.0,3590
1100403,4186800.0,6154
1100403,3662400.0,5369
1100403,3455657.0,6291
1100403,2202187.0,5745
1100403,2900065.0,6040
1100403,2685944.0,5929
1100403,21900.0,20
1100346,3033600.0,4340
1100346,3486000.0,4891
1100346,2287200.0,3188
1100346,3508200.0,5059
1100346,3114000.0,4462
1100346,2598213.0,5027
1100346,1704676.0,4637
1100346,2183720.0,4801
1100346,2030085.0,4722
1100346,18600.0,20
1100023,17503800.0,24338
1100023,21965400.0,30206
1100023,12191400.0,16774
1100023,22747200.0,32121
1100023,19879200.0,27961
1100023,20703675.0,33414
1100023,13154435.0,30011
1100023,17392804.0,31658
1100023,15983838.0,30807
1100023,172500.0,150
1100452,6449400.0,9451
1100452,8074200.0,11538
1100452,5122200.0,7481
1100452,8374200.0,12367
1100452,7589400.0,11177
1100452,7342212.0,13011
1100452,4892890.0,11866
1100452,6367797.0,12492
1100452,5708968.0,12285
1100452,53100.0,50
1100031,837000.0,1219
1100031,1096200.0,1547
1100031,636600.0,923
1100031,1140000.0,1671
1100031,994200.0,1457
1100031,1056931.0,1767
1100031,686642.0,1625
1100031,882283.0,1694
1100031,801061.0,1654
1100031,15000.0,16
1100601,874800.0,1314
1100601,1030800.0,1519
1100601,600600.0,897
1100601,1069200.0,1606
1100601,940800.0,1420
1100601,905945.0,1654
1100601,575413.0,1502
1100601,763933.0,1584
1100601,702732.0,1561
1100601,5100.0,5
1100049,13102200.0,18909
1100049,16414200.0,23435
1100049,9435600.0,13494
1100049,17101800.0,24983
1100049,15034200.0,21917
1100049,15422337.0,25822
1100049,9812466.0,23047
1100049,12676906.0,23959
1100049,11588886.0,23246
1100049,220500.0,190
1100700,1861800.0,2833
1100700,2244600.0,3316
1100700,1407000.0,2115
1100700,2347200.0,3555
1100700,2095200.0,3176
1100700,2032280.0,3721
1100700,1331137.0,3449
1100700,1752332.0,3609
1100700,1596886.0,3570
1100700,9000.0,6
1100809,6020400.0,7842
1100809,6708600.0,8698
1100809,4545600.0,5700
1100809,6929400.0,9152
1100809,6339000.0,8262
1100809,5037754.0,9106
1100809,3315465.0,8338
1100809,4294881.0,8700
1100809,3947211.0,8541
1100809,30000.0,31
1100908,583800.0,876
1100908,709200.0,1038
1100908,424200.0,631
1100908,720000.0,1077
1100908,643200.0,962
1100908,555230.0,1069
1100908,368902.0,992
1100908,460612.0,1023
1100908,436822.0,1009
1100908,2100.0,3
1100056,2956800.0,4215
1100056,3566400.0,5021
1100056,2065800.0,2865
1100056,3675000.0,5298
1100056,3178800.0,4560
1100056,3240929.0,5460
1100056,2027973.0,4885
1100056,2662095.0,5136
1100056,2455161.0,5018
1100056,29400.0,25
1100924,1315800.0,1842
1100924,1639200.0,2255
1100924,1075800.0,1505
1100924,1714200.0,2434
1100924,1553400.0,2200
1100924,1453028.0,2516
1100924,956139.0,2259
1100924,1233123.0,2354
1100924,1119024.0,2287
1100924,10800.0,10
1100064,2371200.0,3508
1100064,3102600.0,4480
1100064,1690800.0,2490
1100064,3235200.0,4810
1100064,2749200.0,4093
1100064,3027582.0,4967
1100064,1901812.0,4427
1100064,2529234.0,4689
1100064,2230501.0,4535
1100064,48600.0,39
1100072,1225800.0,1761
1100072,1557000.0,2153
1100072,972600.0,1393
1100072,1581600.0,2272
1100072,1415400.0,2030
1100072,1368822.0,2378
1100072,896553.0,2149
1100072,1155323.0,2256
1100072,1050419.0,2211
