codmunicipio,valor,beneficiarios,ano,mes
1100106,10477800,14875,2020,7
1100106,9504600,13144,2020,8
1100106,7858872,14553,2020,9
1100106,5055824,13361,2020,10
1100106,6618214,13989,2020,11
1100106,6096585,13780,2020,12
1100106,140700,104,2021,1
1101104,1809600,2456,2020,4
1101104,2146200,2865,2020,5
1101104,1306200,1712,2020,6
1101104,2200200,3015,2020,7
1101104,1974000,2695,2020,8
1101104,1730503,3002,2020,9
1101104,1115881,2704,2020,10
1101104,1419717,2825,2020,11
1101104,1325000,2775,2020,12
1101104,25500,24,2021,1
1100114,8570400,12124,2020,4
1100114,10863000,15218,2020,5
1100114,6281400,8818,2020,6
1100114,11267400,16235,2020,7
1100114,9891000,14209,2020,8
1100114,10242908,17090,2020,9
1100114,6605125,15358,2020,10
1100114,8632536,16209,2020,11
1100114,7892674,15869,2020,12
1100114,101400,81,2021,1
1100122,19146600,27264,2020,4
1100122,24793800,34883,2020,5
1100122,12749400,18205,2020,6
1100122,25900200,37368,2020,7
1100122,22336200,32144,2020,8
1100122,25065039,39268,2020,9
1100122,15500293,34602,2020,10
1100122,20632574,36538,2020,11
1100122,18703572,35439,2020,12
1100122,323100,264,2021,1
1100130,6514800,9420,2020,4
1100130,7792800,11022,2020,5
1100130,4580400,6543,2020,6
1100130,7978800,11649,2020,7
1100130,7092600,10332,2020,8
1100130,6810273,11974,2020,9
1100130,4349962,10909,2020,10
1100130,5726254,11480,2020,11
1100130,5355719,11305,2020,12
1100130,40200,40,2021,1
1101203,1261800,1911,2020,4
1101203,1493400,2195,2020,5
1101203,961800,1436,2020,6
1101203,1530600,2325,2020,7
1101203,1373400,2085,2020,8
1101203,1240137,2380,2020,9
1101203,809801,2192,2020,10
1101203,1048616,2288,2020,11
1101203,974847,2252,2020,12
1101203,1800,2,2021,1
1101302,2352000,3521,2020,4
1101302,2627400,3854,2020,5
1101302,1609800,2370,2020,6
1101302,2676000,4026,2020,7
1101302,2351400,3515,2020,8
1101302,2103699,4012,2020,9
1101302,1331123,3691,2020,10
